# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.57000000  0.144635958752473E-003 -0.373328007109801E-002  0.133844271678787E-001  0.327448075141193E-003  0.510651651476257E-002 -0.392744728495327E-001  0.870701388345455E+000 -0.101639754781000E+001  0.165082139686393E+002  0.571120433490256E-001 -0.147415106930286E+001  0.528507565619947E+001
      0.58000000  0.350272089774236E-004 -0.418855494047430E-002  0.142285271582967E-001  0.522504357716119E-003  0.481082717234469E-002 -0.397143089105182E-001  0.797237237858787E+000 -0.866887024468769E+000  0.164115135162205E+002  0.135926400181692E-001 -0.162540839433959E+001  0.552151465382603E+001
      0.59000000 -0.151847667736312E-003 -0.455236004302199E-002  0.149787475490361E-001  0.676326319350767E-003  0.441036265442196E-002 -0.399725660274549E-001  0.741993556494378E+000 -0.682474791354773E+000  0.162488219125308E+002 -0.579271803955190E-001 -0.173664426572175E+001  0.571412537516676E+001
      0.60000000 -0.394815691144020E-003 -0.478565899969423E-002  0.155661690410742E-001  0.752694986536518E-003  0.394616677884319E-002 -0.400960557489475E-001  0.717645932471228E+000 -0.480302461266931E+000  0.160409988575452E+002 -0.148104900806708E+000 -0.179521626759737E+001  0.583924594052614E+001
      0.61000000 -0.654321827219881E-003 -0.487388424729308E-002  0.159511506832295E-001  0.728797349769351E-003  0.347633701733900E-002 -0.401626769034999E-001  0.731092308032363E+000 -0.282679971503925E+000  0.158190066179303E+002 -0.241428117730436E+000 -0.179833936590437E+001  0.588556903481159E+001
      0.62000000 -0.882013506972230E-003 -0.483361966788531E-002  0.161368514416656E-001  0.604884075671182E-003  0.305951337716085E-002 -0.402612926036478E-001  0.780412943420179E+000 -0.110674861644975E+000  0.156157901861180E+002 -0.320191517101472E+000 -0.175471690888793E+001  0.585805421742895E+001
      0.63000000 -0.103516544994893E-002 -0.470806484557169E-002  0.161690185650706E-001  0.406621694091817E-003  0.273719892870039E-002 -0.404671926591478E-001  0.854729887966512E+000  0.221053111335954E-001  0.154573535959636E+002 -0.369824343049735E+000 -0.168200840612967E+001  0.577656129160919E+001
      0.64000000 -0.109031359514109E-002 -0.455287826449911E-002  0.161222055739590E-001  0.178206613032485E-003  0.252208869909692E-002 -0.408219172812494E-001  0.937328495916827E+000  0.113034642688792E+000  0.153562066078234E+002 -0.383440276244790E+000 -0.160115118001672E+001  0.566983938061797E+001
      0.65000000 -0.105032680987573E-002 -0.441808723116392E-002  0.160775660142313E-001 -0.314927765954543E-004  0.239692983523440E-002 -0.413241495758155E-001  0.101090495483590E+001  0.170018828958538E+000  0.153092490873325E+002 -0.363695033046995E+000 -0.152984420318927E+001  0.556715381144364E+001
      0.66000000 -0.941919619690538E-003 -0.433315352811514E-002  0.160999256252515E-001 -0.184192293532167E-003  0.232390741273621E-002 -0.419340298376769E-001  0.106281361606267E+001  0.207496550536676E+000  0.153004248422823E+002 -0.321215270294706E+000 -0.147770048809394E+001  0.549042811438508E+001
